Item,Description,Quantity,Unit Price ($),Total Price ($),URL,Total ($)
PCBA,PCB,"5 PCB, 1 PCBA",167.9,167.9,https://jlcpcb.com/,167.9
BMI270 Breadout Board,IMU,1,3.46,3.46,https://evelta.com/7semi-bmi270-nano-6-axis-imu-sensor-board-qwiic/,171.36
2805 140KV BLDC Motors,Motors,3,11.88,35.64,https://www.electropi.in/2805-140kv-gimbal-brushless-motor,207
3.6v 2600mah 18650 Li-Ion Battery,Battery,3,2.4,7.2,https://robu.in/product/bak-nmc-18650-2600mah-3c-lithium-ion-3-6v-battery/,214.2
18650 3×1 Cell Spacer,Cell Spacer,2,0.011,0.022,https://robu.in/product/18650-3x1-battery-cell-spacer-holder/,214.222
3S 10A Li-ion 18650 BMS,BMS,1,1.48,1.48,https://robu.in/product/3s-6a-li-ion-18650-charger-protection-board-module-10-8v-11-1v-12-6v/,215.702
DS-316 10MM Momentary Push Button,Push Buttons,3,0.25,0.75,https://robu.in/product/red-ds-316-10mm-lock-free-momentary-self-reset-small-push-button-switch/,216.452
3A 250V Rocker Swtich,Power Botton,1,0.27,0.27,https://robu.in/product/1-month-warranty-1217/,216.722
3mm LED Orange,LED,8,0.014,0.112,https://robu.in/product/3mm-dip-led-orange-50-pcs/,216.834
30AWG Silicon Wire (Red),Connecting Wire,5,0.055,0.275,https://robu.in/product/high-quality-ultra-flexible-30awg-silicone-wire-1000-m-red/,217.109
30AWG Silicon Wire (Black),Connecting Wire,5,0.055,0.275,https://robu.in/product/high-quality-ultra-flexible-30awg-silicone-wire-1000-m-black/,217.384
30AWG Silicon Wire (Yellow),Connecting Wire,5,0.055,0.275,https://robu.in/product/high-quality-ultra-flexible-30awg-silicone-wire-yellow/,217.659
30AWG Silicon Wire (Green),Connecting Wire,5,0.055,0.275,https://robu.in/product/high-quality-ultra-flexible-30awg-silicone-wire-green/,217.934
CN3303,Booster Chip,1,0.55,0.55,https://www.dnatechindia.com/cn3303-pfm-three-cell-lithium-battery-ic.html?srsltid=AfmBOoo6uoH7uqqJPZoItDKlpB9_H6vOuCphcfLw9y0EwwVcqUGIU5Bi_yQ,218.484
TYPE-C-31-M-12,USB-C Port,1,0.42,0.42,https://robu.in/product/type-c-31-m-12-hroparts-5a-1-16p-female-type-c-smd-usb-connectors-rohs/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWdFkDhWvvRoaVlNtiAt9WZvK&gclid=Cj0KCQiA18DMBhDeARIsABtYwT3_h8OyxdDKIBPTmRps9xmcxBTgl6L_dyuUxSDkqE-9SX42a_VSCU4aAicIEALw_wcB,218.904
Universal Mobile Holder,Mobile Holder,1,1.54,1.54,https://www.amazon.in/gp/product/B07S9KNGVS,220.444
M2 and M3 Screws,Mounting Screws,1,4.41,4.41,https://www.amazon.in/gp/product/B0FP53QGD2/,224.854
3M VHB Tape,Mounting PCB,1,1.22,1.22,https://onlyscrews.in/products/3m%E2%84%A2-foam-tape-12mm-x-5meters,226.074
M3 x 10mm Screws,Mounting Screws,4,0.015,0.06,https://onlyscrews.in/products/phillips-csk-m3-x-8mm-pack-of-20?,226.134
M3 x 8mm Inserts,Mounting Inserts,4,0.029,0.116,https://onlyscrews.in/products/m3-x-8mm-brass-threaded-inserts?,226.25
M3 x 25mm Screws,Mounting Screws,3,0.026,0.078,https://onlyscrews.in/products/m3-x-25mm-phillips-csk-ss-304-screw?,226.328
M3 Nylock Nuts,Mounting Nuts,3,0.033,0.099,https://onlyscrews.in/products/m3-nyloc-nuts-ss304?,226.427
"1/4"" - 20 D-Ring",Tripod/Clamp Mounting screw,1,4.42,4.42,https://www.amazon.in/SHOPEE-Mounting-Adapter-Camcorder-Stainless/dp/B09S3XQ8R9/,230.847
,,,,,,
Platform,Total Shipping + Tax ($),Running Total ($),,,,
Lion Circuits,0,230.847,,,,
Amazon,0,230.847,,,,
Robu,0,230.847,,,,
Evalta,0.5,231.347,,,,
Electropi,0,231.347,,,,
DNA Tech India,1.13,232.477,,,,
Only Screws,1.83,234.307,,,,
Price Buffer,2,236.307,,,,
Printing Legion (3D Printing),15,251.307,,,,
